accession,gene_name,index
XP_011237895.1,Ndrg3,1
XP_006502282.1,Mindy1,2
NP_084148.1,Hnrnpa0,3
XP_017170110.1,Dst,4
NP_067361.2,Cldn10,5
XP_006507232.1,Numa1,6
XP_006512602.1,Fyn,7
XP_006518959.1,Ccar2,8
XP_006529197.1,NA,9
NP_034537.2; XP_006499126.1,Hck,10
XP_006517472.1,Tppp,11
XP_006510957.1; XP_006507657.1,Picalm,12
NP_620084.2,Mthfd1,13
XP_006505686.1,Itpr1,14
XP_006523719.1,Flot1,15
XP_006532254.3,NA,16
XP_006533878.1,Cdc42ep4,17
NP_031816.2,Smc3,18
XP_006505170.1,Cadps2,19
NP_659097.2; NP_001157012.1,Eppk1,20
XP_017167769.1,NA,21
XP_006514123.1,1500009L16Rik,22
NP_149065.2,Tars,23
XP_017171620.1,Myef2,24
NP_032826.1,Pde1b,25
NP_059075.1,Tuba8,26
NP_001334640.1,Syne1,27
XP_006524420.1,Strn,28
NP_705728.1,Clstn3,29
XP_006512612.1,Grm1,30
XP_006511903.1,NA,31
XP_006512023.1; XP_006512018.1,Map4,32
XP_006529385.1,Syt2,33
NP_080749.2,Tubb6,34
XP_006528144.1,Atp2b3,35
XP_011238469.2,Erich6,36
NP_035534.2,Slc7a5,37
XP_006506653.1,Nup205,38
XP_006497290.1,NA,39
NP_113582.1,Srrt,40
NP_536344.1,Igsf8,41
NP_598768.1,Cisd1,42
NP_080971.2,Etfb,43
XP_006538628.1,NA,44
XP_006509106.1,Slc20a2,45
XP_006513487.1,Slc1a6,46
XP_006521570.1,Oplah,47
XP_006515597.1; NP_001192163.1,Nrxn2,48
XP_006507331.1,NA,49
NP_663392.2,Rnpep,50
NP_032191.2,Gria1,51
XP_006512023.1,Map4,52
NP_598430.1,Rp2,53
NP_001028308.1,Rmdn3,54
XP_011239469.1; XP_011239463.1,Atp2b2,55
XP_006509052.1,Ank1,56
NP_062600.2,Cbln1,57
XP_006527830.1,Dmd,58
NP_444354.2,Smarca5,59
XP_006510991.1,Unc13c,60
NP_058572.2,Eif3g,61
XP_006502758.1,NA,62
NP_659180.1,Nae1,63
XP_017175466.1; XP_006504616.1,Gnb1,64
NP_031598.2,C1qa,65
XP_006511497.1,Tln2,66
XP_006501835.1,NA,67
XP_006507125.1,NA,68
NP_796111.2,Gnal,69
XP_006530163.1,NA,70
NP_035909.2,Coro1c,71
XP_006527543.1,Cnnm1,72
XP_006515077.1; NP_032950.1,Prkar2a,73
NP_032953.1; NP_075627.2,Map2k1,74
NP_032009.2,Faf1,75
NP_001157571.1,Add3,76
XP_006511115.1,Plscr1,77
NP_001012305.1,Slc39a12,78
NP_033832.2,Aqr,79
XP_006513298.1,Gnaz,80
NP_849251.1,Mal2,81
NP_034617.1; XP_006502856.1,Elavl3,82
XP_006527432.1,NA,83
XP_011240895.1,Slc44a2,84
XP_017175609.1,NA,85
NP_035375.1,Rasgrf1,86
NP_035718.2,Trim28,87
XP_006518985.1,Vcl,88
XP_011239945.1,Grm5,89
XP_006507586.1,Pde2a,90
XP_006533785.1; XP_006521627.1,Rbfox3,91
NP_082328.3,Synpr,92
NP_001290195.1,Agfg2,93
XP_006510695.1,Ubash3b,94
XP_006523666.1; XP_006523669.1,NA,95
NP_034468.2,Gpr37,96
XP_006526569.1,Atp9b,97
XP_006539284.1,NA,98
XP_006510498.1,Opcml,99
NP_032109.1,Gap43,100
XP_017175416.1,C1qc,101
NP_064377.2,Aldh9a1,102
NP_001157012.1,Plec,103
XP_006505788.1,Cntn3,104
XP_006500944.1; NP_081406.1; XP_006500948.1; XP_017174914.1,Afg3l2,105
NP_666144.3,Srp68,106
NP_062426.2,Ddx21,107
NP_598416.1,Cd81,108
NP_808383.3; XP_017173425.1,Kctd12,109
XP_006538597.1,Ephb2,110
XP_006513457.1,NA,111
XP_017172339.1,Dgkg,112
NP_001106651.1,NA,113
NP_064362.1; XP_006501041.1,Dclk1,114
XP_006507272.1,Aldoa,115
NP_001186225.1,Acly,116
NP_034544.1,Htt,117
NP_598801.1,Ddx1,118
NP_038755.1,Azi2,119
XP_006524716.1,NA,120
NP_659078.1,Aarsd1,121
NP_663450.3,Cerk,122
NP_035010.3,Ncl,123
NP_032193.1,Grid2,124
XP_017168039.1,NA,125
NP_035796.2,Uba3,126
XP_006500948.1; XP_017174914.1,NA,127
NP_082988.1,Rap2b,128
NP_035944.2,Fxr2,129
XP_006495995.1,Slc39a10,130
NP_951062.1,Ddx17,131
NP_001004365.1,Actr3b,132
XP_011245129.1,NA,133
NP_573505.2,Rbm39,134
NP_034005.2,Cdkn1b,135
NP_083033.1,Nebl,136
XP_017170039.1,NA,137
NP_001004357.2,Cntnap2,138
NP_034879.2,M6pr,139
XP_006508978.1,Kbtbd11,140
NP_001297015.1,Adnp,141
NP_473392.1,Pip4k2b,142
NP_033907.1,C1qb,143
XP_006501121.1,Arhgef2,144
NP_033991.1,Cdc42,145
XP_006503371.1,Dock7,146
NP_941012.1,Igsf21,147
NP_001334088.1,Acot11,148
NP_058025.2,Atp2a3,149
NP_112462.1,Akap12,150
XP_011238417.1,Ak5,151
NP_001160018.1,Hmga1,152
NP_031817.1,Csrp1,153
XP_017173473.1,NA,154
XP_006533939.1; XP_006506892.1,Hnrnpf,155
NP_598568.1,Lrrc59,156
XP_017177363.1,NA,157
NP_001074665.1,Hnrnpul2,158
XP_006499420.1,Ralgapb,159
NP_080122.2,Rras2,160
NP_038201.1,Atp1b2,161
NP_666212.3,Ina,162
NP_796158.2,Vps13c,163
NP_001129532.1,Dpp6,164
XP_006531532.1,Zc3h18,165
NP_084080.1,Hnrnpm,166
NP_034113.1,Ctsd,167
NP_803228.2,Dars,168
XP_011240969.1,NA,169
NP_001103610.1,Atp2a2,170
NP_062684.2,Smc1a,171
NP_034432.1,Gna12,172
XP_006521255.1,Eif3d,173
NP_786926.2,Plxna4,174
NP_001075952.1,Efr3b,175
NP_033830.2,Aqp4,176
NP_035910.1,Adam23,177
NP_001155294.1,Rgs17,178
NP_444408.1,Acsbg1,179
XP_006499126.1,Src,180
NP_666212.3; NP_032717.2,Ina,181
XP_006514662.1; XP_006531767.1,Sptbn1,182
XP_011247871.1,NA,183
XP_011241131.1,Pik3cb,184
NP_001239388.1,Cyfip2,185
NP_001318012.1; XP_006503740.1,Add1,186
XP_006525606.1,Camk4,187
NP_035370.2,Ranbp2,188
XP_017177161.1,NA,189
NP_032474.2; NP_032475.2,Kif5b,190
XP_006515077.1,NA,191
NP_056602.1; NP_064418.1,H1f4,192
XP_006512018.1,Map4,193
NP_081809.2,Tspan2,194
XP_006521151.1,Apol10b,195
NP_038653.1,Pafah1b1,196
NP_001104518.1,Fga,197
NP_001032844.2,Baiap2,198
XP_017175484.1,Cryzl2,199
NP_598410.2,Slc12a6,200
XP_006537654.1,Cnr1,201
XP_006505810.1,Luc7l2,202
XP_006498982.1,Pde1a,203
NP_663531.1,Tardbp,204
XP_006497123.2,NA,205
XP_006529142.1,Adora1,206
NP_001277414.1,Lamp2,207
NP_077725.1,Stx1b,208
NP_035973.1,Esyt1,209
XP_006502918.1,Pde4b,210
XP_006496813.1; XP_006524303.1; NP_001107596.1,Rasal2,211
XP_006538281.1,Toporsl,212
XP_017172628.1,NA,213
NP_848803.3,Ablim1,214
XP_006532499.1,Nf1,215
XP_006535770.1; NP_035977.2; NP_001153355.1,Dnajb6,216
NP_058050.3,Folh1,217
NP_057905.1,Gpc1,218
NP_082182.1,Vwa8,219
XP_006528691.1,Tmsb15a,220
NP_033031.2,Rab7,221
XP_006533939.1,NA,222
NP_033476.1; NP_666228.1; NP_076205.1,Tubb2a,223
NP_032852.2,Pfkl,224
NP_001078964.1,Arfgef2,225
XP_017168172.1,NA,226
XP_006495895.1,Fam126b,227
NP_694752.1,Cadm4,228
XP_006524303.1,Syngap1,229
NP_001171266.1,Rgs20,230
XP_006509742.1,Homer3,231
XP_006507830.1; XP_006532207.1; XP_006521832.1,Dlg2,232
XP_017177481.1,NA,233
NP_035800.2,Uchl1,234
XP_006525979.1; XP_006511147.2,Dmxl1,235
NP_080589.1,Luc7l3,236
XP_006501460.1,Csde1,237
NP_071705.3; NP_112442.2,Hspa5,238
XP_006541566.1,Thoc2,239
XP_006533939.1; NP_001300646.1,Hnrnph2,240
NP_031486.1,Ap3d1,241
NP_031683.1,Cd9,242
XP_011244848.1,Plin4,243
XP_006515388.1,Ttc7b,244
