accession,gene_name,index
NP_001103974.1,Capn1,1
NP_001074513.2,Mylk2,2
NP_620084.2,Mthfd1,3
NP_031419.1; NP_033736.1,Actb,4
XP_006497180.1,NA,5
NP_033924.2,Capn2,6
NP_032020.2,Fbp2,7
XP_006530111.1,Fabp4,8
XP_006517166.1,Hnrnpk,9
XP_017169807.1; NP_001034634.2; NP_001074719.1,Myh1,10
NP_035831.2,Vim,11
NP_080066.1,Acot13,12
NP_659048.1,Lmcd1,13
NP_075614.1,Kng1,14
NP_082568.1,Ppme1,15
NP_034173.1; NP_035831.2,Des,16
XP_006527319.1,Ahnak,17
NP_033441.2,NA,18
NP_001106659.1,Fxr1,19
NP_001157519.1,Mb,20
NP_001041526.1,Hnrnpab,21
NP_001277563.1; NP_647458.1,Ugp2,22
NP_001185927.1,Vdac3,23
NP_620080.1,Cavin2,24
NP_033824.1,Apobec2,25
XP_017169989.1,NA,26
NP_082478.1,Klhl40,27
XP_006501463.1,NA,28
NP_444424.1,Ric8a,29
NP_859010.1,Dsg1b,30
NP_776291.1,Gpt2,31
XP_006532154.1,Cacnb1,32
NP_031476.3,Slc25a4,33
NP_079811.1,Sar1b,34
XP_006510860.1,Col12a1,35
NP_001074654.1,Flnc,36
XP_006535243.1,NA,37
XP_006510033.1,NA,38
XP_001473484.1,NA,39
NP_034995.3,Myoc,40
NP_080581.1,Elob,41
NP_057928.1,Grb14,42
NP_780305.1,Stbd1,43
XP_006519080.1,Ldb3,44
NP_598677.1,Eif3b,45
XP_017169807.1,Myh1,46
NP_035010.3,Ncl,47
NP_659067.2,Ncaph,48
XP_006538695.1,Padi2,49
NP_032644.3,Mdh1,50
XP_017169807.1; NP_796343.2,Myh1,51
NP_032009.2,Faf1,52
NP_034610.1,Hsp90aa1,53
XP_006518551.1,Camk2g,54
NP_071855.2,Myh9,55
XP_017169807.1; XP_006532475.1; NP_001034634.2; NP_796343.2,Myh1,56
NP_598862.1,Psmd2,57
NP_536699.2,Synpo2,58
XP_006495826.1,NA,59
XP_006501983.1,NA,60
XP_006513461.1; NP_079811.1,Sar1b,61
NP_001292909.1,Diaph1,62
NP_898911.2,Chchd2l,63
XP_006535544.1,NA,64
NP_034989.1; XP_006495826.1,Myl3,65
XP_006526808.1,Nrap,66
NP_032492.1,Kpna3,67
XP_006507232.1,Numa1,68
NP_034304.1,Fabp3,69
XP_017171067.1,Zfp169,70
